id,label,label_short,start,end,scb,wikidata,region_level,parent,metro,skl_kommungrupp_2017,skl_kommunhuvudgrupp_2017,brå_id,municipality_federation_fire,desc,neighbours
Eskilstuna kommun,Eskilstuna kommun,Eskilstuna,0,9,484,Q503144,municipality,Södermanlands län,,Större stad,Större städer och kommuner nära större stad,8545,,,"Strängnäs kommun,Kungsörs kommun,Flens kommun,Katrineholms kommun,Arboga kommun"
Eslövs kommun,Eslövs kommun,Eslöv,0,9,1285,Q1130264,municipality,Skåne län,Stormalmö,Pendlingskommun nära större stad,Större städer och kommuner nära större stad,8449,Kommunalförbundet Syd,,"Kävlinge kommun,Lunds kommun,Höörs kommun,Hörby kommun,Sjöbo kommun,Svalövs kommun,Klippans kommun"
Essunga kommun,Essunga kommun,Essunga,0,9,1445,Q503127,municipality,Västra Götalands län,,Pendlingskommun nära mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8623,Västra Skaraborgs kommunalförbund,,"Alingsås kommun,Trollhättans kommun,Vara kommun,Herrljunga kommun,Vårgårda kommun,Grästorps kommun"
Fagersta kommun,Fagersta kommun,Fagersta,0,9,1982,Q47018,municipality,Västmanlands län,,Pendlingskommun nära mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8606,Södra Dalarnas kommunalförbund,,"Smedjebackens kommun,Norbergs kommun,Skinnskattebergs kommun,Sala kommun,Surahammars kommun"
Falkenbergs kommun,Falkenbergs kommun,Falkenberg,0,9,1382,Q508168,municipality,Hallands län,,Mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8378,Kommunalförbundet Väst,,"Svenljunga kommun,Marks kommun,Varbergs kommun,Hylte kommun,Halmstads kommun,Gislaveds kommun"
Falköpings kommun,Falköpings kommun,Falköping,0,9,1499,Q503214,municipality,Västra Götalands län,,Mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8624,Mellersta Skaraborgs kommunalförbund,,"Skara kommun,Vara kommun,Herrljunga kommun,Ulricehamns kommun,Skövde kommun,Tidaholms kommun,Mullsjö kommun"
Falu kommun,Falu kommun,Falun,0,9,2080,Q501545,municipality,Dalarnas län,,Mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8351,Kommunalförbundet DalaMitt,,"Rättviks kommun,Leksands kommun,Gagnefs kommun,Ockelbo kommun,Hofors kommun,Sandvikens kommun,Ovanåkers kommun,Borlänge kommun,Säters kommun,Hedemora kommun,Bollnäs kommun"
Färgelanda kommun,Färgelanda kommun,Färgelanda,0,9,1439,Q499441,municipality,Västra Götalands län,,Pendlingskommun nära större stad,Större städer och kommuner nära större stad,8625,Norra Älvsborgs kommunalförbund,,"Munkedals kommun,Uddevalla kommun,Bengtsfors kommun,Dals-Eds kommun,Melleruds kommun,Vänersborgs kommun"
Filipstads kommun,Filipstads kommun,Filipstad,0,9,1782,Q503204,municipality,Värmlands län,,Landsbygdskommun,Mindre städer tätorter och landsbygdskommuner,8566,Bergslagens kommunalförbund,,"Karlstads kommun,Storfors kommun,Ludvika kommun,Hällefors kommun,Malung-Sälens kommun,Vansbro kommun,Hagfors kommun"
Finspångs kommun,Finspångs kommun,Finspång,0,9,562,Q503180,municipality,Östergötlands län,,Lågpendlingskommun nära större stad,Större städer och kommuner nära större stad,8712,,,"Norrköpings kommun,Vingåkers kommun,Motala kommun,Linköpings kommun,Katrineholms kommun,Örebro kommun,Hallsbergs kommun"
Flens kommun,Flens kommun,Flen,0,9,482,Q27982,municipality,Södermanlands län,,Lågpendlingskommun nära större stad,Större städer och kommuner nära större stad,8546,,,"Strängnäs kommun,Eskilstuna kommun,Katrineholms kommun,Gnesta kommun,Nyköpings kommun"
Forshaga kommun,Forshaga kommun,Forshaga,0,9,1763,Q499385,municipality,Värmlands län,,Pendlingskommun nära större stad,Större städer och kommuner nära större stad,8567,Karlstadsregionens kommunalförbund,,"Sunne kommun,Munkfors kommun,Kils kommun,Karlstads kommun,Hagfors kommun"
Gagnefs kommun,Gagnefs kommun,Gagnef,0,9,2026,Q2642771,municipality,Dalarnas län,,Pendlingskommun nära större stad,Större städer och kommuner nära större stad,8352,Kommunalförbundet DalaMitt,,"Ludvika kommun,Leksands kommun,Vansbro kommun,Falu kommun,Borlänge kommun"
Gällivare kommun,Gällivare kommun,Gällivare,0,9,2523,Q493815,municipality,Norrbottens län,,Landsbygdskommun,Mindre städer tätorter och landsbygdskommuner,8437,,,"Kiruna kommun,Bodens kommun,Jokkmokks kommun,Överkalix kommun,Pajala kommun"
Gävle kommun,Gävle kommun,Gävle,0,9,2180,Q510010,municipality,Gävleborgs län,,Större stad,Större städer och kommuner nära större stad,8368,Gästrike kommunalförbund,,"Heby kommun,Älvkarleby kommun,Tierps kommun,Ockelbo kommun,Sandvikens kommun,Söderhamns kommun"
Gislaveds kommun,Gislaveds kommun,Gislaved,0,9,662,Q505259,municipality,Jönköpings län,,Landsbygdskommun,Mindre städer tätorter och landsbygdskommuner,8396,Gislaved-Gnosjö kommunalförbund,,"Svenljunga kommun,Falkenbergs kommun,Hylte kommun,Ljungby kommun,Tranemo kommun,Vaggeryds kommun,Värnamo kommun,Gnosjö kommun,Jönköpings kommun"
Gnesta kommun,Gnesta kommun,Gnesta,0,9,461,Q239332,municipality,Södermanlands län,,Pendlingskommun nära större stad,Större städer och kommuner nära större stad,8547,,,"Strängnäs kommun,Trosa kommun,Södertälje kommun,Nykvarns kommun,Flens kommun,Nyköpings kommun"
Gnosjö kommun,Gnosjö kommun,Gnosjö,0,9,617,Q509609,municipality,Jönköpings län,,Pendlingskommun nära mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8397,Gislaved-Gnosjö kommunalförbund,,"Vaggeryds kommun,Värnamo kommun,Gislaveds kommun"
Göteborgs kommun,Göteborgs kommun,Göteborg,0,9,1480,Q52502,municipality,Västra Götalands län,Storgöteborg,Storstäder,Storstäder och storstadsnära kommuner,8628,Storgöteborgs kommunalförbund,,"Kungälvs kommun,Mölndals kommun,Partille kommun,Öckerö kommun,Härryda kommun,Kungsbacka kommun,Lerums kommun,Ale kommun"
Götene kommun,Götene kommun,Götene,0,9,1471,Q511281,municipality,Västra Götalands län,,Pendlingskommun nära mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8660,Mellersta Skaraborgs kommunalförbund,,"Skara kommun,Mariestads kommun,Lidköpings kommun,Skövde kommun"
