id,label,label_short,start,end,scb,wikidata,region_level,parent,metro,skl_kommungrupp_2017,skl_kommunhuvudgrupp_2017,brå_id,municipality_federation_fire,desc,neighbours
Vaxholms kommun,Vaxholms kommun,Vaxholm,0,9,187,Q500090,municipality,Stockholms län,Storstockholm,Pendlingskommun nära storstad,Storstäder och storstadsnära kommuner,8541,Storstockholms kommunalförbund,,"Lidingö kommun,Österåkers kommun"
Växjö kommun,Växjö kommun,Växjö,0,9,780,Q500217,municipality,Kronobergs län,,Större stad,Större städer och kommuner nära större stad,8427,Värends kommunalförbund,,"Lessebo kommun,Uppvidinge kommun,Vetlanda kommun,Tingsryds kommun,Alvesta kommun,Sävsjö kommun"
Vellinge kommun,Vellinge kommun,Vellinge,0,9,1233,Q511338,municipality,Skåne län,Stormalmö,Pendlingskommun nära storstad,Storstäder och storstadsnära kommuner,8488,,,"Trelleborgs kommun,Malmö kommun,Svedala kommun"
Vetlanda kommun,Vetlanda kommun,Vetlanda,0,9,685,Q505052,municipality,Jönköpings län,,Landsbygdskommun,Mindre städer tätorter och landsbygdskommuner,8405,Höglandets kommunalförbund,,"Uppvidinge kommun,Eksjö kommun,Växjö kommun,Högsby kommun,Hultsfreds kommun,Nässjö kommun,Sävsjö kommun"
Vilhelmina kommun,Vilhelmina kommun,Vilhelmina,0,9,2462,Q515861,municipality,Västerbottens län,,Landsbygdskommun,Mindre städer tätorter och landsbygdskommuner,8592,,,"Lycksele kommun,Storumans kommun,Dorotea kommun,Åsele kommun,Strömsunds kommun"
Vimmerby kommun,Vimmerby kommun,Vimmerby,0,9,884,Q505057,municipality,Kalmar län,,Landsbygdskommun,Mindre städer tätorter och landsbygdskommuner,8418,Umeåregionens kommunalförbund,,"Eksjö kommun,Oskarshamns kommun,Hultsfreds kommun,Västerviks kommun,Kinda kommun,Ydre kommun"
Vindelns kommun,Vindelns kommun,Vindeln,0,9,2404,Q504505,municipality,Västerbottens län,,Lågpendlingskommun nära större stad,Större städer och kommuner nära större stad,8593,,,"Norsjö kommun,Bjurholms kommun,Lycksele kommun,Skellefteå kommun,Umeå kommun,Vännäs kommun"
Vingåkers kommun,Vingåkers kommun,Vingåker,0,9,428,Q249378,municipality,Södermanlands län,,Pendlingskommun nära mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8553,Västra Sörmlands kommunalförbund,,"Finspångs kommun,Katrineholms kommun,Örebro kommun"
Ydre kommun,Ydre kommun,Ydre,0,9,512,Q515699,municipality,Östergötlands län,,Pendlingskommun nära mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8721,,,"Eksjö kommun,Vimmerby kommun,Boxholms kommun,Kinda kommun,Tranås kommun,Aneby kommun"
Ystads kommun,Ystads kommun,Ystad,0,9,1286,Q505102,municipality,Skåne län,,Mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8489,Sydöstra Skånes kommunalförbund,,"Simrishamns kommun,Tomelilla kommun,Sjöbo kommun,Skurups kommun"
