id,label,start,end,scb,wikidata,parent,metro,brå_id,desc
Munkedals kommun,Munkedals kommun,0,9,1430,Q389040,Västra Götalands län,,8673,
Tanums kommun,Tanums kommun,0,9,1435,Q511228,Västra Götalands län,,8683,
Dals-Eds kommun,Dals-Eds kommun,0,9,1438,Q503132,Västra Götalands län,,8622,
Färgelanda kommun,Färgelanda kommun,0,9,1439,Q499441,Västra Götalands län,,8625,
Ale kommun,Ale kommun,0,9,1440,Q498470,Västra Götalands län,Storgöteborg,8617,
Lerums kommun,Lerums kommun,0,9,1441,Q503188,Västra Götalands län,Storgöteborg,8666,
Vårgårda kommun,Vårgårda kommun,0,9,1442,Q511297,Västra Götalands län,,8694,
Bollebygds kommun,Bollebygds kommun,1995-01-01,9,1443,Q503102,Västra Götalands län,,8620,
Grästorps kommun,Grästorps kommun,0,9,1444,Q503148,Västra Götalands län,,8626,
Essunga kommun,Essunga kommun,0,9,1445,Q503127,Västra Götalands län,,8623,
Karlsborgs kommun,Karlsborgs kommun,0,9,1446,Q499435,Västra Götalands län,,8664,
Gullspångs kommun,Gullspångs kommun,0,9,1447,Q503193,Västra Götalands län,,8627,
Tranemo kommun,Tranemo kommun,0,9,1452,Q501479,Västra Götalands län,,8687,
Bengtsfors kommun,Bengtsfors kommun,0,9,1460,Q267462,Västra Götalands län,,8619,
Melleruds kommun,Melleruds kommun,0,9,1461,Q501438,Västra Götalands län,,8672,
Lilla Edets kommun,Lilla Edets kommun,0,9,1462,Q511241,Västra Götalands län,Storgöteborg,8668,
Marks kommun,Marks kommun,0,9,1463,Q500153,Västra Götalands län,,8424,
Svenljunga kommun,Svenljunga kommun,0,9,1465,Q501487,Västra Götalands län,,8682,
Herrljunga kommun,Herrljunga kommun,0,9,1466,Q503111,Västra Götalands län,,8661,
Vara kommun,Vara kommun,0,9,1470,Q501428,Västra Götalands län,,8692,
Götene kommun,Götene kommun,0,9,1471,Q511281,Västra Götalands län,,8660,
Tibro kommun,Tibro kommun,0,9,1472,Q501432,Västra Götalands län,,8684,
Töreboda kommun,Töreboda kommun,0,9,1473,Q501470,Västra Götalands län,,8689,
Göteborgs kommun,Göteborgs kommun,0,9,1480,Q52502,Västra Götalands län,Storgöteborg,8628,
Mölndals kommun,Mölndals kommun,0,9,1481,Q511270,Västra Götalands län,Storgöteborg,8674,
Kungälvs kommun,Kungälvs kommun,0,9,1482,Q511394,Västra Götalands län,Storgöteborg,8665,
Lysekils kommun,Lysekils kommun,0,9,1484,Q503173,Västra Götalands län,,8669,
Uddevalla kommun,Uddevalla kommun,0,9,1485,Q501442,Västra Götalands län,,8690,
Strömstads kommun,Strömstads kommun,0,9,1486,Q501424,Västra Götalands län,,8681,
Vänersborgs kommun,Vänersborgs kommun,0,9,1487,Q511426,Västra Götalands län,,8693,
Trollhättans kommun,Trollhättans kommun,0,9,1488,Q28532,Västra Götalands län,,8688,
Alingsås kommun,Alingsås kommun,0,9,1489,Q503162,Västra Götalands län,Storgöteborg,8618,
Borås kommun,Borås kommun,0,9,1490,Q894327,Västra Götalands län,,8621,
Ulricehamns kommun,Ulricehamns kommun,0,9,1491,Q382808,Västra Götalands län,,8691,
Åmåls kommun,Åmåls kommun,0,9,1492,Q271079,Västra Götalands län,,8695,
Mariestads kommun,Mariestads kommun,0,9,1493,Q427422,Västra Götalands län,,8670,
Lidköpings kommun,Lidköpings kommun,0,9,1494,Q515358,Västra Götalands län,,8667,
Skara kommun,Skara kommun,0,9,1495,Q499421,Västra Götalands län,,8677,
Skövde kommun,Skövde kommun,0,9,1496,Q501452,Västra Götalands län,,8678,
Hjo kommun,Hjo kommun,0,9,1497,Q428749,Västra Götalands län,,8662,
Tidaholms kommun,Tidaholms kommun,0,9,1498,Q501459,Västra Götalands län,,8685,
Falköpings kommun,Falköpings kommun,0,9,1499,Q503214,Västra Götalands län,,8624,
Kils kommun,Kils kommun,0,9,1715,Q499393,Värmlands län,,8572,
Eda kommun,Eda kommun,0,9,1730,Q498447,Värmlands län,,8565,
Torsby kommun,Torsby kommun,0,9,1737,Q510135,Värmlands län,,8578,
Storfors kommun,Storfors kommun,0,9,1760,Q505936,Värmlands län,,8575,
Hammarö kommun,Hammarö kommun,0,9,1761,Q499359,Värmlands län,,8570,
Munkfors kommun,Munkfors kommun,0,9,1762,Q501494,Värmlands län,,8574,
Forshaga kommun,Forshaga kommun,0,9,1763,Q499385,Värmlands län,,8567,
Grums kommun,Grums kommun,0,9,1764,Q503122,Värmlands län,,8568,
Årjängs kommun,Årjängs kommun,0,9,1765,Q2777887,Värmlands län,,8579,
Sunne kommun,Sunne kommun,0,9,1766,Q501205,Värmlands län,,8576,
Karlstads kommun,Karlstads kommun,0,9,1780,Q498453,Värmlands län,,8571,
Kristinehamns kommun,Kristinehamns kommun,0,9,1781,Q510364,Värmlands län,,8573,
Filipstads kommun,Filipstads kommun,0,9,1782,Q503204,Värmlands län,,8566,
Hagfors kommun,Hagfors kommun,0,9,1783,Q511407,Värmlands län,,8569,
Arvika kommun,Arvika kommun,0,9,1784,Q511365,Värmlands län,,8564,
Säffle kommun,Säffle kommun,0,9,1785,Q511326,Värmlands län,,8577,
Lekebergs kommun,Lekebergs kommun,1995-01-01,9,1814,Q515282,Örebro län,,8705,
Laxå kommun,Laxå kommun,0,9,1860,Q515326,Örebro län,,8704,
Hallsbergs kommun,Hallsbergs kommun,0,9,1861,Q508180,Örebro län,,8700,
Degerfors kommun,Degerfors kommun,0,9,1862,Q509469,Örebro län,,8699,
Hällefors kommun,Hällefors kommun,0,9,1863,Q220881,Örebro län,,8701,
Ljusnarsbergs kommun,Ljusnarsbergs kommun,0,9,1864,Q514739,Örebro län,,8707,
Örebro kommun,Örebro kommun,0,9,1880,Q297718,Örebro län,,8709,
Kumla kommun,Kumla kommun,0,9,1881,Q504988,Örebro län,,8703,
Askersunds kommun,Askersunds kommun,0,9,1882,Q509501,Örebro län,,8698,
Karlskoga kommun,Karlskoga kommun,0,9,1883,Q509634,Örebro län,,8702,
Nora kommun,Nora kommun,0,9,1884,Q285894,Örebro län,,8708,
Lindesbergs kommun,Lindesbergs kommun,0,9,1885,Q514858,Örebro län,,8706,
Skinnskattebergs kommun,Skinnskattebergs kommun,0,9,1904,Q37462,Västmanlands län,,8613,
Surahammars kommun,Surahammars kommun,0,9,1907,Q34078,Västmanlands län,,8614,
Kungsörs kommun,Kungsörs kommun,0,9,1960,Q47169,Västmanlands län,,8609,
Hallstahammars kommun,Hallstahammars kommun,0,9,1961,Q47019,Västmanlands län,,8607,
Norbergs kommun,Norbergs kommun,0,9,1962,Q37404,Västmanlands län,,8611,
Västerås kommun,Västerås kommun,0,9,1980,Q34550,Västmanlands län,,8615,
Sala kommun,Sala kommun,0,9,1981,Q37399,Västmanlands län,,8612,
Fagersta kommun,Fagersta kommun,0,9,1982,Q47018,Västmanlands län,,8606,
Köpings kommun,Köpings kommun,0,9,1983,Q42009,Västmanlands län,,8610,
Arboga kommun,Arboga kommun,0,9,1984,Q431271,Västmanlands län,,8605,
Vansbro kommun,Vansbro kommun,0,9,2021,Q501551,Dalarnas län,,8362,
Malung-Sälens kommun,Malung-Sälens kommun,0,9,2023,Q504266,Dalarnas län,,8356,
Gagnefs kommun,Gagnefs kommun,0,9,2026,Q2642771,Dalarnas län,,8352,
Leksands kommun,Leksands kommun,0,9,2029,Q509651,Dalarnas län,,8354,
Rättviks kommun,Rättviks kommun,0,9,2031,Q504244,Dalarnas län,,8359,
Orsa kommun,Orsa kommun,0,9,2034,Q504630,Dalarnas län,,8358,
Älvdalens kommun,Älvdalens kommun,0,9,2039,Q123855,Dalarnas län,,8363,
Smedjebackens kommun,Smedjebackens kommun,0,9,2061,Q505046,Dalarnas län,,8360,
Mora kommun,Mora kommun,0,9,2062,Q504239,Dalarnas län,,8357,
Falu kommun,Falu kommun,0,9,2080,Q501545,Dalarnas län,,8351,
Borlänge kommun,Borlänge kommun,0,9,2081,Q503209,Dalarnas län,,8350,
