id,source,periodicity,geographic_extent,measure,divisions
0904,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0905,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0906,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0912,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0913,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0914,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0915,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0916,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0922,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0929,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0930,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0931,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0932,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0935,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
094,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0940,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0941,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
10,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
100,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1001,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1002,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1003,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1004,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1007,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1009,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
101,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1010,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1011,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
111,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1111,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1112,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1113,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1115,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
112,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1120,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1121,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1122,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1123,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1124,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1125,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
120,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1201,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1203,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1204,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1205,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1206,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1208,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1209,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
130,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1301,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1302,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1303,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1304,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1307,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
