id,label
SNI2007_42210,"allmännyttiga anläggningsarbeten för värme, vatten och avlopp"
SNI2007_42220,anläggningsarbeten för el och telekommunikation
SNI2007_42910,vattenbyggnad
SNI2007_42990,övriga anläggningsarbeten
SNI2007_43110,rivning av hus och byggnader
SNI2007_43120,mark- och grundarbeten
SNI2007_43130,markundersökning
SNI2007_43210,elinstallationer
SNI2007_43221,värme- och sanitetsarbeten
SNI2007_43222,ventilationsarbeten
SNI2007_43223,kyl- och frysinstallationsarbeten
SNI2007_43229,övriga vvs-arbeten
SNI2007_43290,andra bygginstallationer
SNI2007_43310,"puts-, fasad- och stuckatörsarbeten"
SNI2007_43320,byggnadssnickeriarbeten
SNI2007_43330,golv- och väggbeläggningsarbeten
SNI2007_43341,måleriarbeten
SNI2007_43342,glasmästeriarbeten
SNI2007_43390,annan slutbehandling av byggnader
SNI2007_43911,takarbeten av plåt
SNI2007_43912,takarbeten av andra material än plåt
SNI2007_43991,uthyrning av bygg- och anläggningsmaskiner med förare
SNI2007_43999,diverse övrig specialiserad bygg- och anläggningsverksamhet
SNI2007_45110,handel med personbilar och lätta motorfordon
SNI2007_45191,"handel med lastbilar, bussar och specialfordon"
SNI2007_45192,"handel med husvagnar, husbilar, släpfordon och påhängsvagnar"
SNI2007_45201,allmän service och reparation av motorfordon utom motorcyklar
SNI2007_45202,"plåt-, lack- och glasreparationer på motorfordon utom motorcyklar"
SNI2007_45203,installationer och reparationer av elsystem till motorfordon utom motorcyklar
SNI2007_45204,däckservice
SNI2007_45310,parti- och provisionshandel med reservdelar och tillbehör till motorfordon utom motorcyklar
SNI2007_45320,detaljhandel med reservdelar och tillbehör till motorfordon utom motorcyklar
SNI2007_45400,handel med och service av motorcyklar inklusive reservdelar och tillbehör
SNI2007_46110,"provisionshandel med jordbruksråvaror, levande djur, textilråvaror och textilhalvfabrikat"
SNI2007_46120,"provisionshandel med bränsle, malm, metaller och industrikemikalier"
SNI2007_46130,provisionshandel med virke och byggmaterial
SNI2007_46141,"provisionshandel med maskiner, industriell utrustning, fartyg och luftfartyg utom kontorsutrustning och datorer"
SNI2007_46142,provisionshandel med kontorsutrustning och datorer
SNI2007_46150,"provisionshandel med möbler, hushålls- och järnhandelsvaror"
SNI2007_46160,"provisionshandel med textilier, kläder, skodon och lädervaror"
SNI2007_46170,"provisionshandel med livsmedel, drycker och tobak"
SNI2007_46180,provisionshandel med annat specialsortiment
SNI2007_46190,provisionshandel med blandat sortiment
SNI2007_46210,"partihandel med spannmål, råtobak, utsäde och djurfoder"
SNI2007_46220,partihandel med blommor och växter
SNI2007_46230,partihandel med levande djur
SNI2007_46240,"partihandel med hudar, skinn och läder"
SNI2007_46310,partihandel med frukt och grönsaker
SNI2007_46320,partihandel med kött- och köttvaror
SNI2007_46330,"partihandel med mejeriprodukter, ägg, matolja och matfett"
SNI2007_46340,partihandel med drycker
SNI2007_46350,partihandel med tobak
SNI2007_46360,"partihandel med socker, choklad och sockerkonfektyrer"
SNI2007_46370,"partihandel med kaffe, te, kakao och kryddor"
SNI2007_46380,"partihandel med andra livsmedel, bl.a. fisk samt skal- och blötdjur"
SNI2007_46390,"icke specialiserad partihandel med livsmedel, drycker och tobak"
SNI2007_46410,partihandel med textilier
SNI2007_46420,partihandel med kläder och skodon
SNI2007_46431,partihandel med elektriska hushållsmaskiner och -apparater
SNI2007_46432,partihandel med ljud- och bildanläggningar samt videoutrustning
SNI2007_46433,partihandel med inspelade band och skivor för musik och bild
SNI2007_46434,partihandel med elartiklar
SNI2007_46435,partihandel med fotografiska och optiska produkter
SNI2007_46440,"partihandel med glas och porslin, rengöringsmedel"
SNI2007_46450,partihandel med parfym och kosmetika
SNI2007_46460,partihandel med medicinsk utrustning och apoteksvaror
SNI2007_46470,"partihandel med möbler, mattor och belysningsartiklar"
SNI2007_46480,partihandel med ur och guldsmedsvaror
SNI2007_46491,partihandel med sport- och fritidsartiklar
SNI2007_46492,partihandel med kontorsförbrukningsvaror
SNI2007_46499,partihandel med övriga hushållsvaror
SNI2007_46510,partihandel med datorer och kringutrustning samt programvara
SNI2007_46521,partihandel med elektronikkomponenter
SNI2007_46522,partihandel med teleprodukter
SNI2007_46610,partihandel med jordbruksmaskiner och -utrustning
SNI2007_46620,partihandel med verktygsmaskiner
SNI2007_46630,"partihandel med gruv-, bygg- och anläggningsmaskiner"
SNI2007_46640,"partihandel med textil-, sy- och stickmaskiner"
SNI2007_46650,partihandel med kontorsmöbler
SNI2007_46660,partihandel med andra kontorsmaskiner och kontorsutrustning
SNI2007_46691,partihandel med mät- och precisionsinstrument
SNI2007_46692,partihandel med datoriserad materialhanteringsutrustning
SNI2007_46699,partihandel med diverse övriga maskiner och utrustning
SNI2007_46710,partihandel med bränslen
SNI2007_46720,partihandel med metaller och metallmalmer
SNI2007_46731,partihandel med virke och andra byggmaterial
SNI2007_46732,partihandel med sanitetsgods
SNI2007_46741,partihandel med järnhandelsvaror
SNI2007_46742,partihandel med vvs-varor
SNI2007_46750,partihandel med kemiska produkter
SNI2007_46761,partihandel med industriförnödenheter
SNI2007_46762,partihandel med emballage
SNI2007_46769,partihandel med övriga insatsvaror
SNI2007_46771,partihandel med uttjänta fordon
SNI2007_46772,partihandel med metallavfall och metallskrot
SNI2007_46773,partihandel med avfall och skrot av icke-metall
SNI2007_46900,övrig partihandel
SNI2007_47111,"varuhus- och stormarknadshandel, mest livsmedel, drycker och tobak"
SNI2007_47112,"livsmedelshandel med brett sortiment, ej varuhus eller stormarknad"
SNI2007_47191,annan varuhus- och stormarknadshandel
SNI2007_47199,övrig detaljhandel med brett sortiment
SNI2007_47210,specialiserad butikshandel med frukt och grönsaker
SNI2007_47220,specialiserad butikshandel med kött och charkuterier
SNI2007_47230,"specialiserad butikshandel med fisk, skal- och blötdjur"
SNI2007_47241,specialiserad butikshandel med bröd och konditorivaror
SNI2007_47242,specialiserad butikshandel med konfektyrer
SNI2007_47250,specialiserad butikshandel med alkoholhaltiga och andra drycker
SNI2007_47260,specialiserad butikshandel med tobaksvaror
SNI2007_47291,specialiserad butikshandel med hälsokost
SNI2007_47299,övrig specialiserad butikshandel med livsmedel
SNI2007_47300,specialiserad detaljhandel med drivmedel
SNI2007_47410,"specialiserad butikshandel med datorer, programvara, data- och tv-spel"
SNI2007_47420,specialiserad butikshandel med telekommunikationsutrustning
SNI2007_47430,specialiserad butikshandel med ljud- och bildanläggningar samt videoutrustning
SNI2007_47510,specialiserad butikshandel med textilier
SNI2007_47521,specialiserad butikshandel med virke och byggvaror
SNI2007_47522,specialiserad butikshandel med järn- och vvs-varor
SNI2007_47523,"specialiserad butikshandel med färger, fernissor och lacker"
SNI2007_47531,specialiserad butikshandel med mattor och annan vägg- och golvbeklädnad
SNI2007_47532,specialiserad butikshandel med inredningstextilier
SNI2007_47540,specialiserad butikshandel med elektriska hushållsmaskiner och hushållsapparater
SNI2007_47591,specialiserad butikshandel med möbler för hemmet
SNI2007_47592,specialiserad butikshandel med kontorsmöbler
SNI2007_47593,"specialiserad butikshandel med glas, porslin och andra bosättningsvaror"
SNI2007_47594,specialiserad butikshandel med belysningsartiklar
SNI2007_47595,specialiserad butikshandel med musikinstrument och noter
SNI2007_47610,specialiserad butikshandel med böcker
SNI2007_47621,specialiserad butikshandel med tidningar
SNI2007_47622,specialiserad butikshandel med kontorsförbrukningsvaror
SNI2007_47630,specialiserad butikshandel med inspelade och oinspelade band och skivor för musik och bild
SNI2007_47641,specialiserad butikshandel med sport- och fritidsartiklar utom cyklar och båtar
SNI2007_47642,specialiserad butikshandel med cyklar
SNI2007_47643,specialiserad butikshandel med båtar
