id,label,parent
4359,"Våldsbrott, Våldtäkt inkl. grov (ingår även i sexualbrott), Mot pojke 15-17 år, Fullbordat",3162
4360,"Våldsbrott, Våldtäkt inkl. grov (ingår även i sexualbrott), Mot pojke 15-17 år, Försök",3162
4361,"Våldsbrott, Våldtäkt inkl. grov (ingår även i sexualbrott), Mot pojke 15-17 år, Inomhus, fullbordat",3162
4362,"Våldsbrott, Våldtäkt inkl. grov (ingår även i sexualbrott), Mot pojke 15-17 år, Inomhus, försök",3162
4363,"Våldsbrott, Våldtäkt inkl. grov (ingår även i sexualbrott), Mot pojke 15-17 år, Utomhus, fullbordat",3162
4364,"Våldsbrott, Våldtäkt inkl. grov (ingår även i sexualbrott), Mot pojke 15-17 år, Utomhus, försök",3162
4365,"Våldsbrott, Våldtäkt inkl. grov (ingår även i sexualbrott), Mot kvinna 18 år eller äldre",3162
4366,"Våldsbrott, Våldtäkt inkl. grov (ingår även i sexualbrott), Mot kvinna 18 år eller äldre, Inomhus",3162
4367,"Våldsbrott, Våldtäkt inkl. grov (ingår även i sexualbrott), Mot kvinna 18 år eller äldre, Utomhus",3162
4368,"Våldsbrott, Våldtäkt inkl. grov (ingår även i sexualbrott), Mot kvinna 18 år eller äldre, Fullbordat",3162
4369,"Våldsbrott, Våldtäkt inkl. grov (ingår även i sexualbrott), Mot kvinna 18 år eller äldre, Försök",3162
4370,"Våldsbrott, Våldtäkt inkl. grov (ingår även i sexualbrott), Mot kvinna 18 år eller äldre, Inomhus, fullbordat",3162
4371,"Våldsbrott, Våldtäkt inkl. grov (ingår även i sexualbrott), Mot kvinna 18 år eller äldre, Inomhus, försök",3162
4372,"Våldsbrott, Våldtäkt inkl. grov (ingår även i sexualbrott), Mot kvinna 18 år eller äldre, Utomhus, fullbordat",3162
4373,"Våldsbrott, Våldtäkt inkl. grov (ingår även i sexualbrott), Mot kvinna 18 år eller äldre, Utomhus, försök",3162
4374,"Våldsbrott, Våldtäkt inkl. grov (ingår även i sexualbrott), Mot man 18 år eller äldre",3162
4375,"Våldsbrott, Våldtäkt inkl. grov (ingår även i sexualbrott), Mot man 18 år eller äldre, Inomhus",3162
4376,"Våldsbrott, Våldtäkt inkl. grov (ingår även i sexualbrott), Mot man 18 år eller äldre, Utomhus",3162
4377,"Våldsbrott, Våldtäkt inkl. grov (ingår även i sexualbrott), Mot man 18 år eller äldre, Fullbordat",3162
4378,"Våldsbrott, Våldtäkt inkl. grov (ingår även i sexualbrott), Mot man 18 år eller äldre, Försök",3162
4379,"Våldsbrott, Våldtäkt inkl. grov (ingår även i sexualbrott), Mot man 18 år eller äldre, Inomhus, fullbordat",3162
4380,"Våldsbrott, Våldtäkt inkl. grov (ingår även i sexualbrott), Mot man 18 år eller äldre, Inomhus, försök",3162
4381,"Våldsbrott, Våldtäkt inkl. grov (ingår även i sexualbrott), Mot man 18 år eller äldre, Utomhus, fullbordat",3162
4382,"Våldsbrott, Våldtäkt inkl. grov (ingår även i sexualbrott), Mot man 18 år eller äldre, Utomhus, försök",3162
4383,"Sexualbrott, Våldtäkt inkl. grov (ingår även i våldsbrott), Mot flicka under 15 år",3294
4384,"Sexualbrott, Våldtäkt inkl. grov (ingår även i våldsbrott), Mot pojke under 15 år",3294
4385,"Sexualbrott, Våldtäkt inkl. grov (ingår även i våldsbrott), Mot flicka 15-17 år",3294
4386,"Sexualbrott, Våldtäkt inkl. grov (ingår även i våldsbrott), Mot pojke 15-17 år",3294
