id,label,smhi_id,municipality,parent,neighbours
smhi_124290,Handsjön D,124290,Bergs kommun,Jämtlands län,"smhi_124280,smhi_124400,smhi_124300,smhi_122510,smhi_123460,smhi_124480"
smhi_124300,Klövsjöhöjden A,124300,Bergs kommun,Jämtlands län,"smhi_124280,smhi_124400,smhi_124290,smhi_122510,smhi_123460,smhi_124480"
smhi_124400,Åsarna D,124400,Bergs kommun,Jämtlands län,"smhi_124280,smhi_124300,smhi_124290,smhi_122510,smhi_123460,smhi_124480"
smhi_124480,Dödre,124480,Bergs kommun,Jämtlands län,"smhi_124280,smhi_124300,smhi_124290,smhi_122510,smhi_123460,smhi_124400"
smhi_125030,Hennan D,125030,Ljusdals kommun,Gävleborgs län,"smhi_114480,smhi_116430,smhi_115500,smhi_115450,smhi_126120,smhi_114390,smhi_114410"
smhi_125240,Kölsillre,125240,Ånge kommun,Västernorrlands län,"smhi_126290,smhi_125250,smhi_125310"
smhi_125250,Rotnäset D,125250,Ånge kommun,Västernorrlands län,"smhi_126290,smhi_125310,smhi_125240"
smhi_125310,Ånge-Parteboda D,125310,Ånge kommun,Västernorrlands län,"smhi_126290,smhi_125250,smhi_125240"
smhi_125440,Hunge A,125440,Bräcke kommun,Jämtlands län,"smhi_135040,smhi_126430,smhi_135020,smhi_125510"
smhi_125510,Mälgåsen D,125510,Bräcke kommun,Jämtlands län,"smhi_135040,smhi_125440,smhi_126430,smhi_135020"
smhi_126080,Sänningstjärn D,126080,Nordanstigs kommun,Gävleborgs län,"smhi_127090,smhi_117570"
smhi_126120,Ljusdals-Valsjön,126120,Ljusdals kommun,Gävleborgs län,"smhi_114480,smhi_116430,smhi_115500,smhi_115450,smhi_125030,smhi_114390,smhi_114410"
smhi_126170,Ulvsjön D,126170,Sundsvalls kommun,Västernorrlands län,"smhi_126240,smhi_127220,smhi_127130"
smhi_126240,Slättån,126240,Sundsvalls kommun,Västernorrlands län,"smhi_127220,smhi_126170,smhi_127130"
smhi_126290,Torpshammar A,126290,Ånge kommun,Västernorrlands län,"smhi_125250,smhi_125310,smhi_125240"
smhi_126430,Öraåtjärnarna D,126430,Bräcke kommun,Jämtlands län,"smhi_135040,smhi_125440,smhi_135020,smhi_125510"
smhi_127090,Åsnorrbodarna,127090,Nordanstigs kommun,Gävleborgs län,"smhi_126080,smhi_117570"
smhi_127130,Brämön A,127130,Sundsvalls kommun,Västernorrlands län,"smhi_126240,smhi_127220,smhi_126170"
smhi_127220,Sidsjö D,127220,Sundsvalls kommun,Västernorrlands län,"smhi_126240,smhi_126170,smhi_127130"
smhi_127310,Sundsvalls Flygplats,127310,Timrå kommun,Västernorrlands län,"smhi_127320,smhi_127390"
smhi_127320,Stordalen-Midlanda D,127320,Timrå kommun,Västernorrlands län,"smhi_127310,smhi_127390"
smhi_127380,Härnösand,127380,Härnösands kommun,Västernorrlands län,"smhi_127480,smhi_128390"
smhi_127390,Höglandsbodarna D,127390,Timrå kommun,Västernorrlands län,"smhi_127320,smhi_127310"
smhi_127480,Gåltjärn,127480,Härnösands kommun,Västernorrlands län,"smhi_127380,smhi_128390"
smhi_127560,Kramfors,127560,Kramfors kommun,Västernorrlands län,"smhi_128590,smhi_138070,smhi_128500"
smhi_127570,Åkroken D,127570,Sollefteå kommun,Västernorrlands län,"smhi_136410,smhi_137200,smhi_137090,smhi_137080,smhi_136360,smhi_136260,smhi_137100"
smhi_128390,Lungö A,128390,Härnösands kommun,Västernorrlands län,"smhi_127480,smhi_127380"
smhi_128500,Nora-Östanö D,128500,Kramfors kommun,Västernorrlands län,"smhi_128590,smhi_127560,smhi_138070"
smhi_128590,Ullånger,128590,Kramfors kommun,Västernorrlands län,"smhi_127560,smhi_138070,smhi_128500"
smhi_132030,Sylarna A,132030,Åre kommun,Jämtlands län,"smhi_134070,smhi_133100,smhi_133240,smhi_134090,smhi_132590,smhi_132320,smhi_132450,smhi_133050,smhi_132370,smhi_132110,smhi_133190,smhi_133410,smhi_132180,smhi_132170"
smhi_132110,Blåhammaren A,132110,Åre kommun,Jämtlands län,"smhi_134070,smhi_133100,smhi_133240,smhi_132030,smhi_134090,smhi_132590,smhi_132320,smhi_132450,smhi_133050,smhi_132370,smhi_133190,smhi_133410,smhi_132180,smhi_132170"
smhi_132170,Storlien-Storvallen A,132170,Åre kommun,Jämtlands län,"smhi_134070,smhi_133100,smhi_133240,smhi_132030,smhi_134090,smhi_132590,smhi_132320,smhi_132450,smhi_133050,smhi_132370,smhi_132110,smhi_133190,smhi_133410,smhi_132180"
smhi_132180,Storlien-Storvallen,132180,Åre kommun,Jämtlands län,"smhi_134070,smhi_133100,smhi_133240,smhi_132030,smhi_134090,smhi_132590,smhi_132320,smhi_132450,smhi_133050,smhi_132370,smhi_132110,smhi_133190,smhi_133410,smhi_132170"
smhi_132320,Medstugan,132320,Åre kommun,Jämtlands län,"smhi_134070,smhi_133100,smhi_133240,smhi_132030,smhi_132590,smhi_134090,smhi_132450,smhi_133050,smhi_132370,smhi_132110,smhi_133190,smhi_133410,smhi_132180,smhi_132170"
smhi_132370,Digernäset D,132370,Åre kommun,Jämtlands län,"smhi_134070,smhi_133100,smhi_133240,smhi_132030,smhi_134090,smhi_132590,smhi_132320,smhi_132450,smhi_133050,smhi_132110,smhi_133190,smhi_133410,smhi_132180,smhi_132170"
smhi_132450,Sandnäset,132450,Åre kommun,Jämtlands län,"smhi_134070,smhi_133100,smhi_133240,smhi_132030,smhi_134090,smhi_132590,smhi_132320,smhi_133050,smhi_132370,smhi_132110,smhi_133190,smhi_133410,smhi_132180,smhi_132170"
smhi_132590,Edevik,132590,Åre kommun,Jämtlands län,"smhi_134070,smhi_133100,smhi_133240,smhi_132030,smhi_134090,smhi_132320,smhi_132450,smhi_133050,smhi_132370,smhi_132110,smhi_133190,smhi_133410,smhi_132180,smhi_132170"
smhi_133050,Höglekardalen,133050,Åre kommun,Jämtlands län,"smhi_134070,smhi_133100,smhi_133240,smhi_134090,smhi_132590,smhi_132320,smhi_132450,smhi_132030,smhi_132370,smhi_132110,smhi_133190,smhi_133410,smhi_132180,smhi_132170"
