id,label,parent
bra_11329,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Hemfridsbrott, olaga intrång (6 §)",bra_11091
bra_11330,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Ofredande (7 §)",bra_11091
bra_11331,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Ofredande (7 §), Mot barn under 18 år",bra_11091
bra_11332,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Ofredande (7 §), Mot barn under 18 år, Mot flicka under 18 år",bra_11091
bra_11333,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Ofredande (7 §), Mot barn under 18 år, Mot pojke under 18 år",bra_11091
bra_11334,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Ofredande (7 §), Mot kvinna 18 år eller äldre",bra_11091
bra_11335,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Ofredande (7 §), Mot man 18 år eller äldre",bra_11091
bra_11336,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Ofredande (7 §), Mot grupp",bra_11091
bra_11337,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Dataintrång (9 c §)",bra_11091
bra_5225,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Människoexploatering (1 b §)",bra_11091
bra_5226,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Människoexploatering (1 b §), Människoexploatering för tvångsarbete el. arbete under orimliga villkor",bra_11091
bra_5227,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Människoexploatering (1 b §), Människoexploatering för tiggeri",bra_11091
bra_5228,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Människoexploatering (1 b §), Människoexploatering för tvångsarbete el. arbete under orimliga villkor, Med barn under 18 år",bra_11091
